cnpj_basico;cnpj_ordem;cnpj_dv;nome_fantasia;situacao;data_situacao;data_inicio;cnae_fiscal;bairro;municipio;Nome_Cidade;razao_social;capital_social;porte;opcao_simples;opcao_mei
02340754;0001;16;COOPEC;02;20051103;19971023;9412099;BANDEIRANTES II;4305;Carmo da Mata;COOPERATIVA EDUCACIONAL DE CATAGUASES E REGIAO LTDA;0,00;05;;
04356271;0002;16;;04;20180918;20010326;4783101;CENTRO;4305;Carmo da Mata;LANDA E CARVALHO LTDA;0,00;01;;
07825957;0001;16;PADARIA PAULISTA;08;20070202;20060127;4721102;HAIDEE FAJARDO;4305;Carmo da Mata;CLEMENTINO & MODESTO LTDA;15000,00;01;;
00744887;0001;22;;08;20230120;19950803;3291400;PAMPULHA;4305;Carmo da Mata;CARMO & LIMA LTDA;3000,00;01;N;00000000
04087398;0001;04;SORVETERIA PURI FRUIT;08;20031021;20000922;1053800;SERENO;4305;Carmo da Mata;MARIA EUNICE PEREIRA RAMOS;0,00;05;;
05738102;0001;22;;08;20080919;20030624;4641901;HAIDEE FAJARDO;4305;Carmo da Mata;TECIDOS CARAMONOS DE CATAGUASES LTDA;0,00;01;;
00765304;0001;40;T.H.PRODUTOS HORTOPEDICOS;08;19990512;19950815;4771701;CENTRO;4305;Carmo da Mata;ANTONIO CARLOS DA SILVA;0,00;05;;
00765307;0001;83;;08;20150209;19950815;4671100;CENTRO;4305;Carmo da Mata;JOAO BATISTA VIANA;0,00;05;;
04104606;0001;28;FUNERARIA SAO CRISTOVAO;02;20051103;20001016;9603304;VILA TEREZA;4305;Carmo da Mata;MELO CAVALHIERE LTDA;110000,00;01;S;00000000
00775623;0001;36;;08;20061106;19950823;5611203;CENTRO;4305;Carmo da Mata;CASSIANA FERNANDES FERREIRA;0,00;01;;
02399870;0001;00;AREAO CATAGUASES;08;20100914;19980225;0810001;VILA MINALDA;4305;Carmo da Mata;VALERIA GUERRA PINHEIRO DE FARIA;0,00;01;;
05776651;0001;91;ESTACAO DO PAO;08;20080408;20030704;4721102;VILA DOMINGOS LOPES;4305;Carmo da Mata;CLEUDIR JOSE DE CASTRO;0,00;01;;
00793913;0001;02;ARMARINHO SAO JUDAS TADEU;08;20081231;19950830;4723700;CENTRO;4305;Carmo da Mata;JONAS FERNANDES;0,00;01;;
00793937;0001;61;;08;20170112;19950904;8599604;PAMPULHA;4305;Carmo da Mata;BANCO DE IDEIAS PROMOCOES E PRODUCOES LTDA;0,00;01;;
02426581;0001;53;STAR SOCCER;02;20051103;19980302;9329899;CENTRO;4305;Carmo da Mata;CENTRO ESPORTIVO J. L. LTDA;40000,00;01;S;00000000
00812189;0001;17;BAR JP;08;19990510;19950913;4635401;PAMPULHA;4305;Carmo da Mata;JOSE DE PAULO;0,00;05;;
00812569;0001;51;PANIFICADORA UNIPAM;08;20100816;19950911;4721102;SANTA CLARA;4305;Carmo da Mata;PANIFICADORA MATOS & GARCIA LTDA;0,00;01;;
00812572;0001;75;FLORESTAL CATAGUAZES;04;20180911;19950908;0210101;CENTRO;4305;Carmo da Mata;FLORESTAL CATAGUAZES LTDA.;0,00;05;;
04153234;0001;20;;08;20190509;20001109;8599601;HAIDEE FAJARDO;4305;Carmo da Mata;CENTRO DE FORMACAO DE CONDUTORES TITONELI EIRELI;100000,00;01;N;00000000
00821704;0001;25;;08;20150209;19950915;9329899;TAQUARA PRETA;4305;Carmo da Mata;CLUBE DO CAVALO DE CATAGUASES DO ESTADO DE MINAS GERAIS;0,00;05;;
00821707;0001;69;;08;20081231;19950915;8121400;VILA TEREZA;4305;Carmo da Mata;MONSIAL SEGURANCA E SERVICOS GERAIS LTDA.;0,00;05;;
04175690;0001;70;;08;20081231;20001122;4642701;GRANJARIA;4305;Carmo da Mata;COMERCIO & CONFECCOES PETROLITAS LTDA;0,00;05;;
02467361;0001;78;MERCEARIA TROPICAL;04;20190123;19980325;4729699;ANA CARRARA;4305;Carmo da Mata;VALOES E HENRIQUES LTDA;0,00;01;;
05862617;0001;30;;08;20140613;20030605;4789005;TOME;4305;Carmo da Mata;SONIELHI INDUSTRIA E COMERCIO LTDA;0,00;01;;
00864517;0001;29;DEPOSITO DE PAES ESTRELA DALVA;08;19960229;19951016;4721102;VILA MINALDA;4305;Carmo da Mata;MARCOS AURELIO DIAS NETO;0,00;05;;
05866986;0001;09;;02;20211123;20030904;1091102;VILA DOMINGOS LOPES;4305;Carmo da Mata;SILAS DA SILVA ELEUTERIO;0,00;01;N;00000000
00875250;0001;75;;08;19951130;19951023;9200301;CENTRO;4305;Carmo da Mata;OVER NIGHT DANCETERIA LTDA;0,00;05;;
02508104;0001;37;;08;20081231;19980423;4723700;POPULAR;4305;Carmo da Mata;OTAVIO CLAUDIO DA SILVA NETO;0,00;05;;
00888738;0001;37;;08;20071210;19951026;5913800;BEIRA RIO;4305;Carmo da Mata;BERSOT & BOLINE VIDEO LTDA;0,00;01;;
02516275;0001;08;CASA DAS RACOES;08;20010426;19980429;4789099;VILA DOMINGOS LOPES;4305;Carmo da Mata;FRANCISCO MARCOS DE SOUZA REZENDE;0,00;05;;
05901172;0001;50;ELETROCOM;04;20190123;20030915;4753900;FATIMA;4305;Carmo da Mata;ELETROCOM CATAGUASES SERVICOS LTDA;0,00;01;;
17184201;0033;76;;08;20010803;19731126;6110801;;4305;Carmo da Mata;TELECOMUNICACOES DE MINAS GERAIS S/A TELEMIG;0,00;05;;
17276734;0013;34;;08;20081231;19711206;8888888;;4305;Carmo da Mata;CONSTRUTORA CAMARGO DRUMMOND LTDA;0,00;05;;
02547103;0001;00;L.G. ARMARINHOS E PRESENTES;08;20170417;19980512;4755502;ISABEL TAVARES;4305;Carmo da Mata;LUANA FIDELIS DA SILVA;0,00;01;N;00000000
02548173;0001;74;;04;20190123;19980201;6201501;CENTRO;4305;Carmo da Mata;SERENO SISTEMAS LTDA;6000,00;03;N;00000000
17642810;0011;16;;04;20190124;19910927;4729601;CENTRO;4305;Carmo da Mata;SOCIEDADE COMERCIAL OHNO LTDA;0,00;01;;
18002014;0002;90;;08;20040210;19870202;4641901;HAIDEE FAJARDO;4305;Carmo da Mata;TECIDOS CRISFLANAS LTDA;0,00;05;;
18962001;0002;63;;08;19911101;19900216;1091101;GRANJARIA;4305;Carmo da Mata;MM COMERCIO E PANIFICADORA LTDA;0,00;05;;
19471853;0002;10;;08;20031010;20010712;4530703;CENTRO;4305;Carmo da Mata;PLANO COMERCIAL LTDA;160000,00;01;N;00000000
19475599;0002;29;FARMACIA PEIXOTO;08;20081231;19860430;8888888;CENTRO;4305;Carmo da Mata;FARMACIA PEIXOTO LTDA;0,00;05;;
19526557;0002;70;;08;19831001;19801120;4755501;CENTRO;4305;Carmo da Mata;BAZAR LEITAO LTDA;100000,00;01;N;00000000
19527639;0004;09;;08;19920430;19660926;8888888;BAIRRO SAO PEDRO;4305;Carmo da Mata;ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.;312021544,93;05;;
00939331;0001;91;;08;20181121;19951127;4744005;CENTRO;4305;Carmo da Mata;BBEF MATERIAIS DE CONSTRUCAO LTDA;250000,00;05;;
00939368;0001;10;;08;20081231;19951123;9312300;CENTRO;4305;Carmo da Mata;MARIA APARECIDA DIAS DE OLIVEIRA;0,00;05;;
02568405;0001;56;;08;19990701;19980515;1099601;HAYDEE FAJARDO;4305;Carmo da Mata;INDUSTRIA DE ALIMENTOS CORDEIRO VIANA LTDA;0,00;05;;
20280764;0002;76;;08;19821202;19800527;4722901;VL DOMINGOS LOPES;4305;Carmo da Mata;ELIO ROCHA & CIA LTDA;0,00;05;;
02573917;0001;00;M.M. MATERIAIS DE CONSTRUCAO;08;20081231;19971012;4744001;BEIRA RIO;4305;Carmo da Mata;ANDRE FARIA DE OLIVEIRA;0,00;01;;
